,movie_title,release_date
0,The Last Showgirl,"Jan 10, 2025"
1,Peter Pan's Neverland Nightmare,"Jan 13, 2025"
2,Better Man,"Jan 17, 2025"
3,Marked Men: Rule & Shaw,"Jan 22, 2025"
4,Flight Risk,"Jan 24, 2025"
5,Love Me,"Jan 31, 2025"
6,Game of Power,"Feb 02, 2025"
7,Parthenope,"Feb 07, 2025"
8,Captain America: Brave New World,"Feb 14, 2025"
9,The Monkey,"Feb 21, 2025"
10,Last Breath,"Feb 28, 2025"
11,Mickey 17,"Mar 07, 2025"
12,Black Bag,"Mar 14, 2025"
13,Snow White,"Mar 21, 2025"
14,A Working Man,"Mar 28, 2025"
15,Kayara,"Mar 30, 2025"
16,A Minecraft Movie,"Apr 04, 2025"
17,Wish You Were Here!,"Apr 05, 2025"
18,The Amateur,"Apr 11, 2025"
19,Sinners,"Apr 18, 2025"
20,Trip to the Woods,"Apr 20, 2025"
21,The Accountant 2,"Apr 25, 2025"
22,Open Secret,"Apr 30, 2025"
23,Thunderbolts*,"May 02, 2025"
24,A Big Bold Beautiful Journey,"May 09, 2025"
25,A Guardian's Heart,"May 15, 2025"
26,Final Destination: Bloodlines,"May 16, 2025"
27,'90s Babiez,"May 17, 2025"
28,Mission: Impossible - The Final Reckoning,"May 23, 2025"
29,Karate Kid: Legends,"May 30, 2025"
30,Ballerina,"Jun 06, 2025"
31,Crawlers,"Jun 10, 2025"
32,How to Train Your Dragon,"Jun 13, 2025"
33,Becoming the Night: A Nightwing Story,"Jun 19, 2025"
34,28 Years Later,"Jun 20, 2025"
35,Lost Weekend,"Jun 25, 2025"
36,M3GAN 2.0,"Jun 27, 2025"
37,Naya Legend of the Golden Dolphin,"Jun 28, 2025"
38,Jurassic World Rebirth,"Jul 02, 2025"
39,Divine Soldiers,"Jul 04, 2025"
40,Superman,"Jul 11, 2025"
41,I Know What You Did Last Summer,"Jul 18, 2025"
42,The Fantastic Four: First Steps,"Jul 25, 2025"
43,The Naked Gun,"Aug 01, 2025"
44,Big Tree,"Aug 04, 2025"
45,Untitled Paul Thomas Anderson Event Film,"Aug 08, 2025"
46,Nobody 2,"Aug 15, 2025"
47,Thread: An Insidious Tale,"Aug 29, 2025"
48,Another in the Fire,"Sep 01, 2025"
49,Jessica Frost,"Sep 04, 2025"
50,The Conjuring: Last Rites,"Sep 05, 2025"
51,Downton Abbey 3,"Sep 12, 2025"
52,Him,"Sep 19, 2025"
53,The Bride,"Sep 26, 2025"
54,Michael,"Oct 03, 2025"
55,Tron: Ares,"Oct 10, 2025"
56,Dr. A. P. J. Abdul Kalam,"Oct 15, 2025"
57,The Black Phone 2,"Oct 17, 2025"
58,The Watchers,"Oct 24, 2025"
59,The Third Parent,"Oct 31, 2025"
60,The Running Man,"Nov 07, 2025"
61,The Cincinnati Spin,"Nov 10, 2025"
62,Now You See Me 3,"Nov 14, 2025"
63,Indecipherable,"Nov 15, 2025"
64,A Figgly Christmas,"Nov 20, 2025"
65,Wicked: For Good,"Nov 21, 2025"
66,Zootopia 2,"Nov 26, 2025"
67,The Accident,"Dec 01, 2025"
68,Five Nights at Freddy's 2,"Dec 05, 2025"
69,Avatar: Fire and Ash,"Dec 19, 2025"
70,The Street Avenger,"Dec 24, 2025"
71,The Housemaid,"Dec 25, 2025"
72,Alien Wars: Judgement Day,"Dec 29, 2025"
73,Apophis 2029,"Dec 30, 2025"
74,Soulm8te,"Jan 02, 2026"
